word,start,end,mean_pitch,max_pitch,min_pitch
 I,0.0,0.22,,,
 have,0.22,0.48,139.89390532458575,195.91459409422194,116.97303161042153
 the,0.48,0.68,197.8728061649302,205.4188733177794,184.57091214028563
 pleasure,0.68,1.0,204.67274007288907,225.46008749448814,185.8251541693592
 to,1.0,1.24,201.15823139310692,213.45950567208376,185.52596111469924
 present,1.24,1.52,195.8613733179052,198.23812535616526,187.89211410932253
 to,1.52,1.78,223.34975349712698,232.45932841230612,204.74415872359035
 you,1.78,2.0,220.07206449207027,237.736368897608,206.3114285039401
 Dr.,2.0,2.76,320.588248155608,524.0879311734011,160.6705734615749
 Martin,2.96,3.38,235.30369031021962,256.60159397000643,216.7254968859622
 Luther,3.38,3.58,243.2859968057358,254.59538064902722,237.0959709071862
" King,",3.58,3.92,262.40997115818567,447.8121894140246,208.00368115858927
 Jr.,4.2,4.54,190.70998469949288,446.0408806238433,128.3184363763317
 I,12.24,12.94,266.8925666656444,412.1208566028446,233.81903279529422
 am,12.94,13.38,263.72978944753964,419.41409538425137,167.27001635548953
 happy,13.38,13.74,214.9949587843507,222.75548568518718,200.45380704520582
 to,13.74,14.52,211.04175444029957,223.24719223068777,193.8715651270418
 join,14.52,14.94,208.50761497580064,224.81205736319293,198.26783170170305
 with,14.94,15.42,211.1573684277195,218.88237745152125,197.51531228839073
 you,15.42,15.62,206.16445688988713,223.94909049389537,199.87075944427062
 today,15.62,16.06,213.41155938768648,228.45005522966744,194.72147625814358
 in,16.06,18.72,257.1828925987886,475.7399015253636,78.73661836328415
 what,18.72,19.4,223.38303218252642,242.5804774331199,198.38596864734677
 will,19.4,19.68,235.41593014236355,244.6030907454757,219.65896182589407
 go,19.68,19.96,226.3620177723887,231.02376214578774,219.4212347379169
 down,19.96,20.36,230.40167059844924,235.86466155261752,222.53973232685928
 in,20.36,20.86,241.77245837809062,469.2880109618916,211.04342593127194
 history,20.86,21.4,258.472587665731,496.60174083272733,195.33379491152706
 as,22.7,23.4,141.5754067353842,155.72790413533795,128.54535520150498
 the,23.4,23.68,201.19854180103036,211.37389280934448,162.46320405896253
 greatest,23.68,24.02,217.25682257081223,242.41403721369636,144.9302573491474
 demonstration,24.02,24.62,232.63901934696074,248.71887478763435,209.2108852113158
 for,24.62,25.7,228.67190174018208,243.81295172385543,208.8808910580583
 freedom,25.7,26.24,214.71657820037944,243.20504319299144,202.82545716642076
 in,26.24,26.72,265.7610465063236,481.1823415286866,209.94138337340556
 the,26.72,26.98,222.4940575664349,306.43087636199084,215.35619605443435
 history,26.98,27.4,263.5783922988414,485.7240241167987,192.4385054169986
 of,27.4,27.88,280.7271036638202,495.1999640476391,216.17049769009287
 our,27.88,28.06,213.05748567772244,217.39242127272135,208.30894867939898
 nation.,28.06,28.52,199.1722712565922,215.7516919795037,77.36233657000415
 Five,36.580000000000005,37.82,,,
 score,37.82,38.66,227.11616365943556,238.04455071013393,192.18718183247563
 years,38.66,39.56,225.57402086379383,238.65632366547771,201.74263751078087
" ago,",39.56,40.2,230.87023962607662,412.5088228524913,193.40102814891864
 a,40.36,43.14,213.42449931820693,227.5814208093488,194.28435961646193
 great,43.14,43.44,222.80335191200783,323.00100504845096,142.88541874329675
 American,43.44,43.98,239.6398867272756,250.99101644870984,221.62141466766641
 in,43.98,44.28,224.91201305716638,240.5448581954701,207.14253476361938
 whose,44.28,44.46,218.30347823231722,252.30111237421812,197.40496994564768
 symbolic,44.46,45.14,232.7128277444024,253.73073176238498,214.7873495340026
 shadow,45.14,46.32,235.1112467978572,404.3730351815158,216.84444329214
 we,46.32,46.66,229.37187028780266,247.33344172365466,218.37954898146646
 stand,46.66,46.96,227.13359175073447,242.3366607338902,212.81159973809866
