word,start,end,mean_pitch,max_pitch,min_pitch
 When,0.0,0.6,179.940980465751,187.9187943210978,166.05821333103341
 a,0.6,0.9,190.87630093856336,211.05799059668283,122.94047030989852
 week,0.9,1.32,164.30554990628985,198.15662399326632,122.54686503817504
 ago,1.32,1.56,146.3493381914887,148.88448579224746,142.1086231462057
" today,",1.56,2.1,120.16369868097894,150.3976378446359,93.79323245205464
 Mr.,2.46,3.24,111.36625029555982,113.62083750874197,109.60357180891955
" Speaker,",3.4,3.72,111.96459391116349,123.52964496246608,98.1233585123708
 I,3.96,5.3,129.06096217857808,132.9945702893514,121.1700091250601
 asked,5.3,5.74,143.67597897352502,172.30046931905912,117.18140355209744
 the,5.74,5.92,,,
 House,5.92,6.12,125.35019262149773,134.61813843746322,107.65076853499006
 to,6.12,6.42,142.61204100212123,219.58329365427406,99.08064348357824
 fix,6.42,6.7,135.55356629966997,147.5636510556038,105.59908026619068
 this,6.7,6.92,134.77207780908438,146.7692850967775,111.48345801592846
 afternoon,6.92,7.46,120.71667340010913,128.447639099075,108.2744393624138
 as,7.46,8.8,105.48986744766307,132.60193014517614,76.15092436119554
 the,8.8,8.96,114.49679381171524,116.52200073100043,111.54936113162364
 occasion,8.96,9.36,124.21137366820794,146.7297632568696,104.31644975026835
 for,9.36,9.7,116.98164189453347,152.97149593675445,82.89211907884906
 a,9.7,9.86,103.51277157391257,110.93610999316351,85.99816389767606
" statement,",9.86,10.26,120.69411513639834,220.54768043766936,85.59462240400042
 I,10.98,11.32,82.11310905179877,82.8109776807719,81.44933962190596
 feared,11.32,11.72,144.64900429489055,178.6405969543183,103.69698400689761
 it,11.72,12.06,131.251502089865,174.9002153368267,89.24322248720264
 would,12.06,12.24,118.41798065094771,129.2001463002436,97.55780871931738
 be,12.24,12.48,124.33888184874229,152.23045762451954,106.89094937558816
 my,12.48,12.76,123.63389280108993,154.94793708231748,99.23915638983915
 hard,12.76,13.1,125.59321215100026,145.2183326364875,110.47121086974812
 lot,13.1,13.38,112.04425733220314,143.8196239233719,94.45728967209229
 to,13.38,14.44,88.999713079322,94.16551206032652,85.59419942532546
 announce,14.44,14.74,131.38552747382138,139.7956420010176,117.6819637863364
 the,14.74,15.84,131.97890334062907,141.1910770543141,109.69123117177956
 greatest,15.84,16.18,131.40777856238077,155.59863309748937,101.7136410900695
 military,16.18,16.74,132.3057052136536,216.90147830476695,95.53345570483391
 disaster,16.74,17.58,129.43688754492405,217.9022281906577,87.29443667908134
 in,17.58,18.72,131.90297613828142,267.0533109721608,82.71180864005537
 our,18.72,18.96,113.68538551866838,117.70267912745689,106.86537254449502
 long,18.96,19.4,114.41229699417657,129.55269418815055,108.42170650987883
 history.,19.4,20.16,141.82628381104186,238.85727102352178,108.6911927800379
 I,21.4,22.04,,,
" thought,",22.04,22.68,134.63493625538,155.32559222255148,112.78468083706375
 and,22.9,24.02,98.48870855779559,98.48870855779559,98.48870855779559
 some,24.02,24.26,110.91289429082185,128.7008075255931,92.22890772427083
 good,24.26,24.52,125.14985945894877,135.2479261606837,112.29645517654556
 judges,24.52,24.94,145.6676017653336,229.67921245833958,109.03899543106127
 agreed,24.94,25.26,105.55025230372503,116.92595951142914,92.20872369575486
 with,25.26,25.56,125.82192507647578,139.49026573294717,100.91835693239157
" me,",25.56,25.82,123.36011468753696,137.07144795002696,103.4139002812876
 that,25.92,27.06,116.3472813402791,135.76473212473098,82.67031481940602
 perhaps,27.06,27.48,142.88231881751756,251.6031020101667,101.51381108222145
 20,27.48,27.84,197.35015028652825,445.7737580980546,133.90368475282148
 or,27.84,28.12,140.6446517777401,153.53073409496696,117.51153196610898
 30,28.12,28.46,120.83350053043458,142.9293562512137,108.6560973513722
",000",28.46,29.04,130.17301395621365,148.10273739174684,108.2118607544556
 men,29.04,29.28,115.70675295449742,125.35885991417248,109.9683310662877
 might,29.28,29.68,109.6064222047497,119.55001126879651,79.71513781524897
 be,29.68,29.96,129.8233500526241,216.42508841836215,106.76754713439773
 re,29.96,30.14,107.20073938454541,111.99038306696497,103.47056783059729
-embarked.,30.14,30.46,106.64983726223714,116.70510436870552,86.59972088917199
 But,31.08,31.72,,,
 it,31.72,31.92,111.41726344682357,117.61474635417397,104.48528981344376
 certainly,31.92,32.24,140.73416040834894,167.37591252611497,92.66908970684871
 seems,32.24,32.72,130.14338328065054,164.81687367998086,95.71177129265223
 that,32.72,33.12,114.08319293114282,169.4379859018802,76.62621061051752
 the,33.12,33.3,87.26592119971879,94.38568609717301,82.33978137431914
 whole,33.3,33.48,108.77674025750497,143.09947455079904,90.77294360711264
 of,33.48,33.68,136.98742131530034,154.68941077338107,107.30363637602761
 the,33.68,33.82,95.96184280272611,106.05329948462014,88.15637519652327
 French,33.82,34.12,108.17405215331017,134.984238482079,78.46149469088816
 First,34.12,34.54,126.12260430857049,137.0763894602537,108.93995474718187
 Army,34.54,34.94,118.28600069114634,132.75393475152862,100.93984234026492
 and,34.94,36.22,85.70925167966482,99.91779504663232,80.2060390235551
 the,36.22,36.38,108.19863457787739,113.91795342351129,100.87094173390366
 whole,36.38,36.62,117.09030007351322,147.38474186736147,106.11440937108078
 of,36.62,36.86,143.5624353966386,160.7781673873294,117.09446630120077
 the,36.86,37.06,102.86861629256843,115.7517541539613,97.91174250844057
 British,37.06,37.98,108.64372123742146,147.96687129151886,86.79613596811063
 Expeditionary,37.98,38.88,128.3662405150756,152.8105771590676,109.22290538273111
 Force,38.88,39.2,103.34281372640608,137.42992949110558,83.32205880680584
 north,39.2,40.9,114.07863294471802,139.886987653975,82.03708423227945
 of,40.9,41.24,138.82186528861294,151.13262200138615,108.72718450401977
 the,41.24,41.48,100.21837365756936,106.05415066523116,87.41939167868827
 Amiens,41.48,42.14,125.11468864490169,144.35128343793843,97.31531695386084
 Abbeville,42.14,43.42,106.89490752986092,137.8997651951031,77.72576073217857
 Gap,43.42,44.08,94.36431615555121,130.65764062522052,76.41559275590036
 would,44.08,45.38,127.50025952634384,137.06226406960485,113.90500323789789
 be,45.38,45.58,127.17793323097301,135.89993425436032,117.06486460144295
 broken,45.58,46.02,179.95046736680197,235.43749244161015,131.73116632796726
 up,46.02,46.32,147.87499991979226,182.64915619652672,112.76734037600708
 in,46.32,46.48,111.89416353205826,126.49160181863135,96.47467914237417
 the,46.48,46.58,124.87907180937673,126.09145921181366,124.12059429900472
 open,46.58,46.82,132.03348455433843,138.92903956546576,126.54756241707432
