,winston_churchill_speeches_and_radio_broadcasts_1940-06-04_we_shall_never_surrender,Score
ID,winston_churchill_speeches_and_radio_broadcasts_1940-06-04_we_shall_never_surrender,
Date,2025-06-19,
Duration,733.596735,
Word Count,1554,
Average_Words_Per_Minute,127.09980231850406,5.0
Mean_Pitch,121.91530431947415,
Mean_Pitch_Std,27.839448619843086,4.0
Mean_Pause,0.07038163001293712,4.0
Mean_Pause_Std,0.25488454755324036,
Total_Filler_Count,2,4.0
Overall_Lexical_Diversity,0.35917901938426455,2.0
Overall_Readability,7.6,5.0
DistilBERT_Positive_Windows_Count,10,
DistilBERT_Negative_Windows_Count,3,
DistilBERT_Neutral_Windows_Count,0,
DistilBERT_Positive_Windows_Percentage,76.92307692307693,
DistilBERT_Negative_Windows_Percentage,23.076923076923077,
DistilBERT_Neutral_Windows_Percentage,0.0,
DistilBERT_Overall_Dominant_Sentiment,POSITIVE,
DistilBERT_Average_Sentiment_Score,0.9752461314201355,
DistilRoBERTa_Average_Emotion_anger,0.019496821816294238,
DistilRoBERTa_Average_Emotion_disgust,0.0017210011563013093,
DistilRoBERTa_Average_Emotion_fear,0.020704173773992807,
DistilRoBERTa_Average_Emotion_joy,0.39609337512117165,
DistilRoBERTa_Average_Emotion_neutral,0.024417256076748554,
DistilRoBERTa_Average_Emotion_sadness,0.497900296933949,
DistilRoBERTa_Average_Emotion_surprise,0.03966706396582035,
DistilRoBERTa_Overall_Dominant_Emotion,sadness,
BART_Dominant_ZeroShot_Emotion,unsure,
BART_Average_ZeroShot_confident,0.6803644786660488,
BART_Average_ZeroShot_unsure,0.6983647105785517,
BART_Average_ZeroShot_neutral,0.023580035266394798,
